업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시 (입찰마감일시),공동 수급,투찰,내용링크
용역,E112100142-00,일반,인권경영 실태조사 및 인권영향평가 용역(3차 공고),한국전력거래소,재무경영팀,일반(총액),2021/11/16 16:11 (2021/11/30 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211125979&bidseq=00
용역,E112100141-00,일반,용량가격 관련 계수 산정 기능개발 용역,한국전력거래소,재무경영팀,제한(총액),2021/11/11 15:14 (2021/11/23 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211119293&bidseq=00
용역,E112100140-00,일반,발전실적관리시스템 유지보수 용역,한국전력거래소,재무경영팀,제한(총액),2021/11/10 17:21 (2021/11/23 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211117689&bidseq=00
용역,E112100139-00,일반,DR 시스템 운영기능 개선 및 개발환경 구축사업,한국전력거래소,재무경영팀,제한(총액),2021/11/09 13:20 (2021/11/23 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211114471&bidseq=00
물품,A112100026-00,일반,2021년 추계 체육행사 기념품 구매,한국전력거래소,기획본부,수의(총액),2021/11/04 00:00 (2021/11/09 09:30),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211107569&bidseq=00
용역,E112100138-00,일반,신규 전산모형 연계 시장분석 프로그램 개발,한국전력거래소,재무경영팀,제한(총액),2021/11/02 16:00 (2021/11/16 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211104285&bidseq=00
용역,E112100137-00,일반,2021년 하반기 신입직원 입문소양 및 OA 교육 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/11/01 16:22 (2021/11/11 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211102494&bidseq=00
용역,E112100136-00,일반,인권경영 실태조사 및 인권영향평가 용역(2차 공고),한국전력거래소,재무경영팀,제한(총액),2021/11/01 09:36 (2021/11/11 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211101772&bidseq=00
용역,E112100135-00,일반,'21~'22년 현업지원 정보시스템 유지관리 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/10/29 09:43 (2021/11/09 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211039004&bidseq=00
용역,E112100134-00,일반,'21~'22년 현업지원 정보시스템 유지관리 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/10/28 17:41 (2021/11/09 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211038495&bidseq=00
용역,E112100132-00,일반,육지계통 재생e 통합관제(예측) 시스템 유지관리 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/10/28 17:33 (2021/11/09 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211038492&bidseq=00
용역,E112100130-00,일반,차기 제주 전력계통운영시스템(EMS) 구축 용역,한국전력거래소,재무경영팀,일반(총액),2021/10/20 17:14 (2021/11/30 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211026039&bidseq=00
용역,E112100131-00,일반,차기 제주 전력계통운영시스템(EMS) 구축 감리 용역,한국전력거래소,재무경영팀,일반(총액),2021/10/20 17:12 (2021/11/30 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211026038&bidseq=00
용역,E112100129-00,일반,'21~'22년도 전력IT EMS SW 부문 유지관리 위탁용역,한국전력거래소,재무경영팀,일반(총액),2021/10/19 18:25 (2021/11/02 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211024140&bidseq=00
용역,E112100128-00,일반,인권경영 실태조사 및 인권영향평가 용역,한국전력거래소,재무경영팀,제한(총액),2021/10/18 13:54 (2021/10/28 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211020833&bidseq=00
물품,A112100023-00,일반,본사 KPX스튜디오 시스템 구매,한국전력거래소,기획본부,수의(총액),2021/10/15 00:00 (2021/10/20 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211018285&bidseq=00
용역,E112100127-00,일반,재난대응 메뉴얼 개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/10/13 14:01 (2021/10/26 15:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211014024&bidseq=00
용역,E112100126-00,일반,전력통계정보시스템(EPSIS) 모바일 웹페이지 개발,한국전력거래소,재무경영팀,제한(총액),2021/10/12 17:33 (2021/10/26 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211012554&bidseq=00
용역,E112100125-00,일반,탄소중립에 다른 전력수요 영향 전망모형 개발 용역,한국전력거래소,재무경영팀,제한(총액),2021/10/12 17:07 (2021/10/22 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211012558&bidseq=00
용역,E112100124-00,일반,탄소중립에 다른 전력수요 영향 전망모형 개발 용역,한국전력거래소,재무경영팀,제한(총액),2021/10/12 17:02 (2021/10/22 17:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211012259&bidseq=00
물품,A112100024-00,일반,복사본_본사사옥 공조기 및 항온항습기 필터 구매,한국전력거래소,기획본부,수의(총액),2021/10/12 15:26 (2021/10/14 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211011882&bidseq=00
물품,G112100017-00,일반,[2차 신규]수요전망용 SAS(통계S/W) 라이선스 갱신,한국전력거래소,기획본부,제한(총액),2021/10/12 00:00 (2021/10/20 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20211011679&bidseq=00
용역,E112100123-00,일반,전력계통운영시스템(EMS) 신기술 조사 용역,한국전력거래소,재무경영팀,제한(총액),2021/10/06 17:05 (2021/10/19 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211007324&bidseq=00
용역,E112100122-00,일반,발전기 정비관리 시스템(GOMS) 성능 개선,한국전력거래소,재무경영팀,제한(총액),2021/10/01 11:35 (2021/10/13 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211001204&bidseq=00
용역,E112100121-00,일반,KPX Market+[plus] 모바일 종합서비스 개발,한국전력거래소,재무경영팀,제한(총액),2021/10/01 11:30 (2021/10/13 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211001201&bidseq=00
용역,E112100120-00,일반,차세대 전력시장 개편에 따른 DR시스템 기능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/10/01 11:22 (2021/10/13 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211001202&bidseq=00
용역,E112100119-00,일반,재생e 정보공유 시스템 구축 및 REC 거래시스템 기능 개선,한국전력거래소,재무경영팀,제한(총액),2021/10/01 11:11 (2021/10/13 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20211001203&bidseq=00
물품,A112100022-00,일반,본사사옥 유지관리용 소모성자재 구매,한국전력거래소,기획본부,수의(총액),2021/09/28 00:00 (2021/09/28 10:16),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210928261&bidseq=00
물품,G112100016-00,일반,수요전망용 SAS(통계S/W) 라이선스 갱신,한국전력거래소,기획본부,제한(총액),2021/09/27 00:00 (2021/10/07 12:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210926563&bidseq=00
용역,E112100118-00,일반,전력계통운영시스템(EMS) 신기술 조사 용역,한국전력거래소,재무경영팀,제한(총액),2021/09/13 11:10 (2021/09/28 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210916020&bidseq=00
용역,E112100117-00,일반,신재생 이용률 정보제공시스템 구축 용역,한국전력거래소,재무경영팀,제한(총액),2021/09/10 14:58 (2021/09/24 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210912868&bidseq=00
물품,A112100021-00,일반,회의장 운영을 위한 OA기기 구매,한국전력거래소,기획본부,수의(총액),2021/09/10 00:00 (2021/09/16 14:52),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210912968&bidseq=00
용역,E112100116-00,일반,'21~'22년도 전력IT EMS SW 부문 유지관리 위탁용역,한국전력거래소,재무경영팀,일반(총액),2021/09/09 17:16 (2021/10/20 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210911885&bidseq=00
용역,E112100115-00,일반,'21~'22년도 전력IT EMS SW 부문 유지관리 위탁용역,한국전력거래소,재무경영팀,일반(총액),2021/09/09 16:19 (2021/10/20 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210911566&bidseq=00
용역,E112100113-00,일반,온라인 수요예측시스템 및 전력수요 분석시스템 유지관리 용역,한국전력거래소,재무경영팀,제한(총액),2021/09/09 15:55 (2021/09/24 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210911378&bidseq=00
용역,E112100112-00,일반,2021년 전력시장 전문위원회 위원 전문인 배상책임보험,한국전력거래소,재무경영팀,일반(총액),2021/09/01 15:44 (2021/09/14 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210901745&bidseq=00
용역,E112100111-00,일반,온라인 수요예측시스템 및 전력수요 분석시스템 유지관리 용역,한국전력거래소,재무경영팀,제한(총액),2021/08/30 10:26 (2021/09/10 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210832782&bidseq=00
용역,E112100110-00,일반,2021년도 임직원 단체보험 가입(2차),한국전력거래소,재무경영팀,일반(총액),2021/08/27 14:22 (2021/09/07 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210831965&bidseq=00
용역,E112100108-00,일반,형상관리 및 배포 자동화 시스템 구축,한국전력거래소,재무경영팀,제한(총액),2021/08/24 19:12 (2021/09/08 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210827816&bidseq=00
물품,A112100020-00,일반,개인용 컵 살균세척기 구매(물품식별번호 : 24007015),한국전력거래소,기획본부,수의(총액),2021/08/24 09:08 (2021/08/27 18:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210827271&bidseq=00
물품,G112100015-00,일반,해킹메일 분석시스템 사용권(License) 구매,한국전력거래소,기획본부,제한(총액),2021/08/20 00:00 (2021/08/27 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210823412&bidseq=00
용역,E112100105-00,일반,4차 산업혁명의 전력수요 영향 분석 및 전망 용역,한국전력거래소,재무경영팀,일반(총액),2021/08/17 09:26 (2021/08/27 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210818177&bidseq=00
용역,E112100104-00,일반,직무중심 임금체계 개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/08/13 13:08 (2021/08/24 15:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210816432&bidseq=00
용역,E112100103-00,일반,2021년도 임직원 단체보험 가입,한국전력거래소,재무경영팀,일반(총액),2021/08/11 15:53 (2021/08/25 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210813342&bidseq=00
용역,E112100102-00,일반,시장시스템 H/W 및 라이선스 보강 사업,한국전력거래소,재무경영팀,제한(총액),2021/08/10 17:27 (2021/08/24 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210811999&bidseq=00
용역,E112100100-00,일반,전력계통 관성 실시간 감시시스템 구축용역,한국전력거래소,재무경영팀,제한(총액),2021/08/10 14:29 (2021/09/24 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210811379&bidseq=00
용역,E112100099-00,일반,전력거래소 대표홈페이지 및 전력정보앱 개편 용역,한국전력거래소,재무경영팀,제한(총액),2021/08/10 11:15 (2021/08/24 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210811184&bidseq=00
용역,E112100101-00,일반,전력계통 건전성지수(PSHI) 감시시스템 성능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/08/10 11:13 (2021/08/24 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210811182&bidseq=00
용역,E112100096-00,일반,전력계통 건전성지수(PSHI) 감시시스템 성능개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/08/05 15:46 (2021/08/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210806796&bidseq=00
용역,E112100095-00,일반,시장시스템 H/W 및 라이선스 보강 사업,한국전력거래소,재무경영팀,제한(총액),2021/08/05 15:38 (2021/08/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210806798&bidseq=00
용역,E112100090-00,일반,시장시스템 H/W 및 라이선스 보강 사업,한국전력거래소,재무경영팀,제한(총액),2021/08/05 14:54 (2021/08/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210806622&bidseq=00
용역,E112100094-00,일반,2021년도 홍보 콘텐츠 제작 및 온라인 홍보매체 운영 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/08/05 11:50 (2021/08/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210806420&bidseq=00
용역,E112100093-00,일반,전사 데이터 관리 및 클라우드 인프라 규모 산정 컨설팅,한국전력거래소,재무경영팀,제한(총액),2021/08/04 11:20 (2021/08/18 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210804637&bidseq=00
용역,E112100092-00,일반,2020년도 대외 평가 지적사항 개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/08/02 16:28 (2021/08/13 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210803204&bidseq=00
용역,E112100091-00,일반,직무중심 임금체계 개선 용역,한국전력거래소,재무경영팀,제한(총액),2021/07/30 15:07 (2021/08/12 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210801173&bidseq=00
물품,A112100019-00,일반,복합기 및 프린터 소모품 구매(2차),한국전력거래소,기획본부,수의(총액),2021/07/28 00:00 (2021/07/30 15:45),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210733210&bidseq=00
용역,E112100089-00,일반,중장기 경영전략 고도화 용역,한국전력거래소,재무경영팀,제한(총액),2021/07/26 13:25 (2021/08/05 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210730389&bidseq=00
물품,A112100018-00,일반,특수동 1층 협력회사 사무공간용 비말 차단 칸막이 구매,한국전력거래소,기획본부,수의(총액),2021/07/23 00:00 (2021/07/28 17:40),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210729143&bidseq=00
용역,E112100088-00,일반,전사 데이터 관리 및 클라우드 인프라 규모 산정 컨설팅,한국전력거래소,재무경영팀,제한(총액),2021/07/22 11:47 (2021/08/03 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210726993&bidseq=00
용역,E112100086-00,일반,탄소중립 실현을 위한 스마트그리드 추진 로드맵 수립에 관한 연구용역,한국전력거래소,재무경영팀,제한(총액),2021/07/14 09:02 (2021/07/27 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210716446&bidseq=00
용역,E112100084-00,일반,전력거래사 자격제도 도입 타당성 분석 및 기초설계 용역,한국전력거래소,재무경영팀,제한(총액),2021/07/12 15:13 (2021/07/22 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210713693&bidseq=00
용역,E112100083-00,일반,국가 신재생 관제정보 시스템 모바일 웹 구축,한국전력거래소,재무경영팀,제한(총액),2021/07/12 13:26 (2021/07/23 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210713273&bidseq=00
물품,A112100017-00,일반,본사사옥 유지관리용 소모성자재 구매,한국전력거래소,기획본부,수의(총액),2021/07/07 00:00 (2021/07/09 14:32),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20210708508&bidseq=00
용역,E112100080-00,일반,[재공고]제17회 서울국제전력시장 컨퍼런스(SICEM 2021) 위탁용역,한국전력거래소,재무경영팀,제한(총액),2021/07/06 17:57 (2021/07/19 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20210708174&bidseq=00
용역,E112200063-00,일반,(긴급)제주지역 수요자원시장 분리 운영을 위한 DR시스템 기능개선 용역,한국전력거래소,재무경영팀,제한(총액),2022/06/30 13:34 (2022/07/12 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220648658&bidseq=00
용역,E112200062-00,일반,(긴급)전력거래 계량 취득 실시간성 개선을 위한 모뎀 펌웨어 개발,한국전력거래소,재무경영팀,제한(총액),2022/06/30 13:18 (2022/07/12 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220648657&bidseq=00
용역,E112200061-00,일반,제10차 전력수급기본계획 수립을 위한 전략환경영향평가 대행용역,한국전력거래소,재무경영팀,제한(총액),2022/06/30 09:36 (2022/07/12 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220648145&bidseq=00
물품,A112200025-00,일반,본사사옥 서지보호장치 구매,한국전력거래소,기획본부,수의(총액),2022/06/23 00:00 (2022/06/30 10:20),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220638838&bidseq=00
용역,E112200060-00,일반,제 18회 서울 국제전력시장 컨퍼런스(SICEM 2022) 위탁용역,한국전력거래소,재무경영팀,제한(총액),2022/06/22 11:01 (2022/07/05 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220636233&bidseq=00
용역,E112200059-00,일반,중장기 계통계획을 위한 계통 강건성 평가 방법 및 지표 개발 연구용역,한국전력거래소,재무경영팀,제한(총액),2022/06/22 10:48 (2022/07/05 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220636235&bidseq=00
용역,E112200058-00,일반,중장기 경영전략 고도화 용역(긴급),한국전력거래소,재무경영팀,일반(총액),2022/06/21 14:46 (2022/07/05 15:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220634394&bidseq=00
용역,E112200057-00,일반,EMT급 해석환경 구축을 통한 정전복구 시나리오 개선방안 연구,한국전력거래소,재무경영팀,제한(총액),2022/06/20 15:12 (2022/07/01 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220631922&bidseq=00
용역,E112200056-00,일반,제주 재생e 예측시스템 SW 유지관리 위탁용역,한국전력거래소,재무경영팀,제한(총액),2022/06/20 14:58 (2022/06/30 15:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220631578&bidseq=00
용역,E112200053-00,일반,직접PPA 및 재생E 예측제도 고도화 관련 SW개발 감리용역(2차),한국전력거래소,재무경영팀,제한(총액),2022/06/14 16:17 (2022/06/24 16:30),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220620847&bidseq=00
물품,A112200021-00,일반,제주본부 IT시스템 통합 백업시스템 구축,한국전력거래소,기획본부,수의(총액),2022/06/14 14:48 (2022/06/24 14:48),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220620364&bidseq=00
물품,A112200022-00,일반,방문객예약시스템 HW 교체 및 OS 버전업,한국전력거래소,기획본부,수의(총액),2022/06/14 00:00 (2022/06/24 15:25),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220620683&bidseq=00
물품,A112200023-00,일반,2022년 복합기 및 프린터 소모품 구매(2차),한국전력거래소,기획본부,수의(총액),2022/06/14 00:00 (2022/06/24 16:13),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220620684&bidseq=00
물품,A112200024-00,일반,2021년도 전력시장통계 책자 제작,한국전력거래소,기획본부,수의(총액),2022/06/14 00:00 (2022/06/24 17:39),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220621308&bidseq=00
용역,E112200052-00,일반,전력 메타데이터 표준화 컨설팅 사업,한국전력거래소,재무경영팀,제한(총액),2022/06/10 10:30 (2022/07/20 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220614227&bidseq=00
용역,E112200051-00,일반,중장기 계통계획을 위한 계통 강건성 평가 방법 및 지표 개발 연구용역,한국전력거래소,재무경영팀,제한(총액),2022/06/09 14:02 (2022/06/21 15:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220612342&bidseq=00
용역,E112200050-00,일반,중장기 경영전략 고도화 용역(긴급),한국전력거래소,재무경영팀,일반(총액),2022/06/09 13:53 (2022/06/21 14:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220612078&bidseq=00
물품,A112200020-00,일반,외부망 VDI 스토리지 디스크 증설,한국전력거래소,기획본부,수의(총액),2022/06/07 00:00 (2022/06/17 10:21),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220606302&bidseq=00
용역,E112200049-00,일반,직접PPA 및 재생E 예측제도 고도화 관련 SW개발 감리용역,한국전력거래소,재무경영팀,제한(총액),2022/06/03 16:33 (2022/06/14 16:40),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220605108&bidseq=00
용역,E112200048-00,일반,재생에너지 확대에 따른 유연성 자원 확보 및 제어 전략에 관한 연구,한국전력거래소,재무경영팀,제한(총액),2022/06/02 18:16 (2022/06/14 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220603549&bidseq=00
용역,E112200047-00,일반,2022년도 성수기 휴양시설 위탁용역,한국전력거래소,재무경영팀,제한(총액),2022/05/25 09:48 (2022/06/08 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220540428&bidseq=00
용역,E112200045-00,일반,2022년 전력산업 인력양성 사업 온라인과정 개발 용역,한국전력거래소,재무경영팀,제한(총액),2022/05/25 09:09 (2022/06/08 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220540424&bidseq=00
용역,E112200044-00,일반,'22~'24년 전사적 자원관리(ERP) 유지관리 위탁용역,한국전력거래소,재무경영팀,제한(총액),2022/05/23 16:40 (2022/06/03 16:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220536639&bidseq=00
용역,E112200043-00,일반,IT 운영프로세스 표준화 및 인증 컨설팅 용역(2차),한국전력거래소,재무경영팀,제한(총액),2022/05/20 10:17 (2022/05/31 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220533102&bidseq=00
물품,A112200019-00,일반,급전운영정보공유시스템 웹방식 파일첨부솔루션 및 HDD 교체,한국전력거래소,기획본부,수의(총액),2022/05/18 10:22 (2022/05/31 08:55),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220528277&bidseq=00
물품,A112200018-00,일반,2022년 복합기 및 프린터 소모품 구매(1차분),한국전력거래소,기획본부,수의(총액),2022/05/18 10:14 (2022/05/31 10:14),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220528278&bidseq=00
용역,E112200042-00,일반,재생에너지 확대에 따른 유연성 자원 확보 및 제어 전략에 관한 연구,한국전력거래소,재무경영팀,제한(총액),2022/05/18 08:57 (2022/05/31 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220527919&bidseq=00
용역,E112200041-00,일반,특수일 산업체 조업률 조사용역,한국전력거래소,재무경영팀,제한(총액),2022/05/18 08:56 (2022/05/31 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220527918&bidseq=00
물품,A112200017-00,취소,급전운영정보공유시스템 웹방식 파일첨부솔루션 및 HDD 교체,한국전력거래소,기획본부,수의(총액),2022/05/18 08:55 (2022/05/31 08:55),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20220528049&bidseq=00
용역,E112200040-00,일반,IT 마스터플랜 수립 용역(긴급),한국전력거래소,재무경영팀,제한(총액),2022/05/13 10:19 (2022/05/24 11:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220520440&bidseq=00
용역,E112200038-00,일반,비대면 전자봉인체계 도입방안 연구용역,한국전력거래소,재무경영팀,제한(총액),2022/05/12 09:32 (2022/05/24 10:00),,한국전력거래소 이동,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20220517893&bidseq=00
